date,stars,forks,npm_day,npm_week,views_14d,uniques_14d,top_referrers_uniques,x_followers,notes
2026-07-04,153,31,19,162,374,197,"",99,
2026-07-05,158,31,105,1148,429,225,"",99,
2026-07-06,158,32,19,1156,465,244,"t.co:60;github.com:43;Google:33;v2ex.com:24;chatgpt.com:5;raysonmeng.github.io:3",99,
2026-07-07,181,34,19,1156,,,"",99,
2026-07-08,222,37,19,1156,,,"",99,
2026-07-09,225,37,19,1156,,,"",100,
2026-07-10,232,37,42,1236,,,"",99,
2026-07-11,232,39,42,1236,,,"",101,
2026-07-12,233,40,36,286,,,"",102,
2026-07-13,234,39,12,193,,,"",102,
2026-07-14,234,40,12,193,,,"",102,
2026-07-15,236,40,6,118,,,"",101,
2026-07-16,236,41,12,108,,,"",101,
2026-07-17,236,41,8,74,,,"",101,
2026-07-18,241,42,5,79,,,"",102,
2026-07-19,244,42,9,52,,,"",101,
2026-07-20,245,42,4,44,,,"",101,
2026-07-21,247,42,5,49,,,"",101,
2026-07-22,247,43,3,46,,,"",100,
2026-07-23,248,43,9,43,,,"",100,
2026-07-24,265,43,14,49,,,"",110,
2026-07-25,267,43,19,63,,,"",127,
2026-07-26,268,43,10,64,,,"",130,
2026-07-27,269,44,10,64,,,"",134,
2026-07-28,270,45,10,64,,,"",128,
2026-07-29,273,45,10,64,,,"",127,
2026-07-30,276,46,11,103,,,"",127,
2026-07-31,276,46,10,99,,,"",125,
2026-08-01,279,46,2,82,,,"",125,
2026-08-02,282,47,2,74,,,"",125,
2026-08-03,283,47,8,41,,,"",123,
2026-08-04,285,47,32,70,,,"",122,
2026-08-05,287,47,8,73,,,"",121,
2026-08-06,287,47,5,67,,,"",121,
2026-08-08,294,47,23,79,,,"",120,
2026-08-09,296,47,14,122,,,"",124,
2026-08-11,298,47,8,98,,,"",122,
2026-08-12,299,48,8,98,,,"",121,
2026-08-13,299,48,8,98,,,"",121,
2026-08-14,300,49,8,98,,,"",122,
2026-08-15,303,49,8,98,,,"",,
2026-08-16,303,49,2,40,,,"",,
2026-08-17,304,48,2,40,,,"",,
2026-08-18,305,49,2,40,,,"",,
2026-08-19,306,49,9,70,,,"",,
2026-08-20,306,49,3,61,,,"",,
2026-08-21,309,50,3,61,,,"",,
2026-08-22,309,50,4,70,,,"",,
2026-08-23,309,50,4,72,,,"",,
2026-08-25,309,50,3,39,,,"",0,
2026-08-26,312,50,36,72,,,"",0,
2026-08-27,314,50,9,72,,,"",0,
2026-08-28,314,50,11,80,,,"",0,
2026-08-29,314,50,3,70,,,"",6,
2026-08-30,315,50,9,75,,,"",6,
2026-08-31,314,50,2,73,,,"",6,
2026-09-01,317,50,2,73,,,"",4,
2026-09-02,316,50,2,73,,,"",4,
2026-09-03,323,50,2,73,,,"",4,
2026-09-04,325,52,2,73,,,"",4,
2026-09-05,327,53,2,73,,,"",4,
